origen,destino,num_estaciones,num_transbordos,num_troncales,distancia_km,hora_dia,dia_semana,es_hora_pico,es_fin_semana,num_portales,tiempo_minutos,categoria
21 Angeles,Humedal Cordoba,3,0,1,1.793,14,1,0,0,0,4.11,Rapido
Mandalay,Portal Norte,23,4,5,15.45,19,3,1,0,1,72.04,Lento
Calle 63 NQS,Calle 106,7,3,4,3.475,14,4,0,0,0,14.97,Rapido
Calle 127,Ferias,8,4,4,4.97,14,1,0,0,0,17.68,Rapido
Av Chile,Flores,7,2,3,3.126,20,4,1,0,0,17.53,Rapido
Patio Bonito,Yomasa,20,3,4,13.05,23,1,0,0,0,49.82,Medio
Normandia,Flores,7,1,2,3.979,9,5,0,1,0,12.09,Rapido
Calle 146,Pepe Sierra,6,0,1,3.714,12,1,0,0,0,11.04,Rapido
Portal Norte,Biblioteca Tintal,24,4,5,16.285,22,1,0,0,1,47.78,Medio
Calle 38A Sur,Portal Norte,28,5,6,25.8,21,4,0,0,1,66.46,Lento
Portal 80,Toberin,13,3,4,7.604,21,3,0,0,1,26.52,Medio
Calle 63,Portal Suba,12,1,2,10.813,19,2,1,0,1,35.78,Medio
Gratamira,Quiroga,19,4,4,16.984,20,5,1,1,0,41.24,Medio
Heroes,Ferias,4,2,2,4.595,13,2,0,0,0,8.54,Rapido
Calle 38A Sur,Calle 45,17,4,4,12.063,12,3,0,0,0,41.38,Medio
Calle 100,Patio Bonito,15,3,4,9.858,18,2,1,0,0,45.99,Medio
Consuelo,Patio Bonito,22,3,4,13.567,17,6,1,1,0,74.08,Lento
Shaio,Museo Nacional,10,3,3,9.246,20,0,1,0,0,26.7,Medio
NQS Calle 38A Sur,Patio Bonito,10,1,2,7.85,22,5,0,1,0,19.02,Rapido
El Dorado,Portal Usme,30,5,4,17.164,12,2,0,0,1,81.21,Lento
Marsella,Normandia,17,4,3,2.001,10,6,0,1,0,24.18,Rapido
Virrey,Ricaurte,13,3,3,7.126,5,3,0,0,0,21.19,Rapido
Calle 106,Pepe Sierra,2,0,1,1.013,9,6,0,1,0,1.89,Rapido
Museo Nacional,Mandalay,10,1,2,5.61,11,3,0,0,0,18.73,Rapido
Museo Nacional,Gratamira,12,3,3,10.959,18,2,1,0,0,32.85,Medio
Salitre El Greco,Biblioteca Tintal,18,4,3,5.026,16,1,0,0,0,36.67,Medio
Av Chile,Av 68,10,3,4,2.132,12,1,0,0,0,20.84,Rapido
Ferias,Calle 34,10,3,3,7.249,20,5,1,1,0,23.54,Rapido
Portal Norte,General Santander,27,5,4,23.975,16,1,0,0,1,58.7,Lento
Calle 19,Calle 63,4,2,2,4.592,14,0,0,0,0,6.65,Rapido
Shaio,Museo Nacional,10,3,3,9.246,17,5,1,1,0,21.53,Rapido
Yomasa,Flores,18,3,4,13.9,8,5,1,1,0,64.78,Lento
Suba TV 91,Calle 22,12,2,3,13.03,23,6,0,1,0,15.84,Rapido
Mundo Aventura,Calle 100,12,3,4,7.08,21,5,0,1,0,22.7,Rapido
Portal Usme,Calle 146,31,5,6,25.274,18,2,1,0,1,141.79,Lento
Calle 45,Polo,6,1,2,5.582,10,5,0,1,0,9.48,Rapido
Toberin,Ricaurte,21,5,4,15.292,20,3,1,0,0,55.84,Lento
Granja,Mandalay,15,2,3,5.657,12,6,0,1,0,27.34,Medio
Portal Americas,Flores,16,2,3,8.295,19,4,1,0,1,43.57,Medio
Av 68,Pradera,15,4,3,1.46,15,1,0,0,0,26.98,Medio
Gobernacion,Marsella,13,4,3,2.93,13,4,0,0,0,23.4,Rapido
Alcala,Quiroga,20,5,4,17.464,11,0,0,0,0,36.43,Medio
San Victorino,Ferias,11,6,4,9.102,20,5,1,1,0,28.08,Medio
Aurora,Calle 127,24,5,6,20.811,14,1,0,0,0,64.45,Lento
Simon Bolivar,Mundo Aventura,6,1,2,4.119,20,4,1,0,0,16.71,Rapido
San Facade,Marly,9,1,2,2.826,16,5,0,1,0,11.99,Rapido
Escuela Militar,Calle 22,11,2,3,7.394,11,2,0,0,0,18.98,Rapido
Calle 85,Cardio Infantil,11,0,1,7.865,11,5,0,1,0,19.55,Rapido
Restrepo,Suba TV 91,17,3,4,17.13,14,0,0,0,0,37.95,Medio
Molinos,Calle 72,23,4,4,16.447,14,0,0,0,0,64.55,Lento
Av Chile,Biblioteca Tintal,10,1,2,6.749,22,2,0,0,0,18.4,Rapido
Portal Usme,Calle 146,31,5,6,25.274,5,4,0,0,1,83.18,Lento
Marsella,Calle 85,11,3,4,4.957,6,2,1,0,0,35.88,Medio
Calle 100,Normandia,9,2,3,4.819,20,0,1,0,0,24.18,Rapido
Calle 45,Santa Lucia,18,2,3,11.606,14,0,0,0,0,37.15,Medio
Patio Bonito,Tercer Milenio,10,2,3,7.272,12,6,0,1,0,16.32,Rapido
Portal 80,Humedal Cordoba,7,2,3,1.737,23,3,0,0,1,13.7,Rapido
Toberin,Calle 142,4,0,1,2.92,11,5,0,1,0,4.98,Rapido
Calle 63,Ferias,6,3,3,5.026,10,4,0,0,0,10.62,Rapido
Portal Americas,Suba TV 91,22,3,4,12.559,20,2,1,0,1,58.42,Lento
Heroes,Portal El Dorado,11,1,2,6.105,7,5,1,1,1,23.44,Rapido
Yomasa,Socorro,2,0,1,0.579,11,3,0,0,0,4.62,Rapido
Calle 45,Granja,10,3,3,6.712,9,0,0,0,0,19.57,Rapido
Suba TV 91,Santa Lucia,25,5,5,21.537,14,3,0,0,0,51.89,Lento
Normandia,Granja,13,4,4,2.92,21,4,0,0,0,22.84,Rapido
Av Chile,Polo,3,0,1,1.887,15,4,0,0,0,4.15,Rapido
Shaio,Socorro,23,5,5,19.242,5,6,0,1,0,38.83,Medio
Av Chile,Calle 72,5,2,3,1.91,20,4,1,0,0,14.65,Rapido
Calle 85,Simon Bolivar,7,2,3,2.383,18,5,1,1,0,20.24,Rapido
Portal Suba,Minuto de Dios,14,3,3,6.623,18,2,1,0,1,37.83,Medio
Calle 63,Marly,4,0,1,2.127,18,5,1,1,0,6.46,Rapido
Normandia,San Facade,13,4,3,6.431,6,3,1,0,0,28.19,Medio
Calle 19,Normandia,9,3,2,6.478,21,6,0,1,0,13.51,Rapido
Salitre El Greco,Portal Norte,17,3,3,12.074,18,0,1,0,1,42.15,Medio
Pradera,Yomasa,15,3,4,13.876,19,6,1,1,0,40.94,Medio
Calle 34,Heroes,7,0,1,3.815,19,5,1,1,0,12.19,Rapido
Yomasa,Tercer Milenio,13,1,2,8.588,12,5,0,1,0,32.69,Medio
San Facade,Olaya,6,1,2,4.452,7,1,1,0,0,16.5,Rapido
Portal Norte,Calle 22,16,3,3,16.529,9,3,0,0,1,33.19,Medio
Granja,Patio Bonito,17,2,3,7.15,20,3,1,0,0,49.36,Medio
NQS Calle 38A Sur,Cardio Infantil,18,3,4,16.499,21,5,0,1,0,36.94,Medio
Gratamira,Patio Bonito,19,3,4,10.699,15,6,0,1,0,35.82,Medio
Heroes,Humedal Cordoba,5,0,1,5.511,23,4,0,0,0,8.98,Rapido
Calle 45,Portal Americas,17,3,3,8.069,22,3,0,0,1,30.01,Medio
Salitre El Greco,Museo Nacional,8,3,2,4.914,19,2,1,0,0,21.97,Rapido
Ferias,Shaio,7,3,3,2.687,17,1,1,0,0,23.02,Rapido
Las Aguas,Portal Suba,18,4,3,16.153,17,3,1,0,1,55.85,Lento
Calle 45,Pradera,11,3,3,2.808,6,1,1,0,0,27.71,Medio
Calle 142,Portal 80,10,3,4,5.107,8,4,1,0,1,30.21,Medio
Calle 40 Sur,Olaya,3,0,1,1.57,9,0,0,0,0,4.94,Rapido
Marsella,Virrey,12,3,4,5.514,17,5,1,1,0,28.44,Medio
Ricaurte,Museo Nacional,5,1,2,1.116,15,5,0,1,0,6.94,Rapido
Salitre El Greco,Av Cali Calle 80,12,4,4,3.721,7,1,1,0,0,37.64,Medio
Escuela Militar,Calle 127,7,3,4,3.69,18,0,1,0,0,22.13,Rapido
Calle 142,Portal 80,10,3,4,5.107,10,5,0,1,1,17.8,Rapido
Mandalay,CAN,16,4,3,4.468,14,2,0,0,0,28.0,Medio
Restrepo,Olaya,2,0,1,0.785,23,5,0,1,0,1.65,Rapido
Calle 106,Toberin,9,0,1,6.971,17,4,1,0,0,24.0,Rapido
Simon Bolivar,Calle 40 Sur,8,1,2,10.714,12,3,0,0,0,16.62,Rapido
Alcala,Portal Norte,6,0,1,4.942,14,5,0,1,1,8.65,Rapido
Minuto de Dios,Socorro,24,7,6,17.898,14,5,0,1,0,57.34,Lento
Portal El Dorado,Humedal Cordoba,15,2,3,6.779,11,3,0,0,1,29.8,Medio
Museo Nacional,Shaio,10,3,3,9.246,16,4,0,0,0,18.47,Rapido
Aurora,Nariño,12,1,2,7.272,13,0,0,0,0,40.49,Medio
Biblioteca Tintal,Tercer Milenio,9,2,3,6.796,20,6,1,1,0,20.57,Rapido
Escuela Militar,Tercer Milenio,7,1,2,9.113,16,1,0,0,0,14.92,Rapido
Calle 38A Sur,Yomasa,3,0,1,1.176,8,5,1,1,0,12.6,Rapido
Portal 80,Av Cali Calle 80,5,0,1,0.915,23,2,0,0,1,8.07,Rapido
Hospitales,Mandalay,7,1,2,6.951,18,1,1,0,0,18.5,Rapido
Molinos,Restrepo,13,1,2,7.229,21,2,0,0,0,44.02,Medio
Portal Sur,Hospitales,8,0,1,5.604,15,6,0,1,1,13.3,Rapido
Calle 40 Sur,El Dorado,20,4,3,12.228,17,6,1,1,0,44.36,Medio
Nariño,Alcala,15,4,5,15.111,13,4,0,0,0,31.29,Medio
Gobernacion,Simon Bolivar,9,3,4,0.647,17,6,1,1,0,19.77,Rapido
Escuela Militar,Portal Suba,12,2,3,7.405,5,4,0,0,1,24.81,Rapido
Toberin,El Dorado,20,3,3,12.104,7,5,1,1,0,56.71,Lento
Humedal Cordoba,Olaya,17,4,4,15.318,8,1,1,0,0,36.27,Medio
Pradera,Calle 19,8,1,2,4.598,8,1,1,0,0,18.56,Rapido
Portal El Dorado,Mundo Aventura,21,4,3,2.342,22,3,0,0,1,39.37,Medio
Patio Bonito,Calle 142,21,4,5,13.46,20,4,1,0,0,67.69,Lento
Av Cali Calle 80,Mundo Aventura,15,2,3,5.627,11,3,0,0,0,32.13,Medio
Molinos,Calle 142,29,5,6,23.891,16,4,0,0,0,93.27,Lento
CAN,Nariño,11,4,3,8.328,13,1,0,0,0,21.72,Rapido
Portal El Dorado,Calle 127,15,3,3,8.467,11,5,0,1,1,29.86,Medio
Biblioteca Tintal,Marly,16,1,2,6.169,12,1,0,0,0,29.0,Medio
San Facade,Consuelo,16,2,3,10.484,23,1,0,0,0,45.59,Medio
Calle 40 Sur,Suba TV 91,20,3,4,19.441,5,2,0,0,0,39.69,Medio
Calle 34,Salitre El Greco,8,1,2,4.071,13,6,0,1,0,10.41,Rapido
Av 68,Calle 34,9,1,2,4.436,5,2,0,0,0,13.92,Rapido
Mandalay,Aurora,19,3,4,13.693,10,2,0,0,0,53.23,Lento
Restrepo,Calle 19,7,1,2,3.973,7,3,1,0,0,14.22,Rapido
Socorro,Calle 146,26,5,6,22.904,19,4,1,0,0,86.48,Lento
Quiroga,Humedal Cordoba,16,3,4,16.095,19,5,1,1,0,44.43,Medio
Portal Sur,Normandia,20,4,3,13.631,18,5,1,1,1,46.54,Medio
Portal 80,Calle 100 Suba,5,2,3,1.447,7,2,1,0,1,14.66,Rapido
Gratamira,Virrey,6,1,2,4.874,23,4,0,0,0,9.86,Rapido
Suba TV 91,Restrepo,19,4,4,17.13,14,3,0,0,0,35.5,Medio
Calle 19,San Facade,5,1,2,0.65,11,3,0,0,0,6.33,Rapido
Marsella,Portal El Dorado,20,4,3,2.775,17,3,1,0,1,54.14,Lento
Las Aguas,General Santander,12,2,3,5.967,16,1,0,0,0,23.07,Rapido
Calle 127,Calle 106,3,0,1,1.698,7,3,1,0,0,5.98,Rapido
Calle 34,San Victorino,6,1,2,2.582,6,4,1,0,0,13.19,Rapido
Calle 22,Olaya,9,1,2,5.094,16,6,0,1,0,12.23,Rapido
Biblioteca Tintal,Heroes,13,2,3,7.173,14,2,0,0,0,27.07,Medio
Calle 45,Portal Sur,17,1,2,11.022,12,6,0,1,1,25.29,Medio
Mundo Aventura,Calle 19,10,1,2,5.316,13,4,0,0,0,17.02,Rapido
San Victorino,Virrey,10,3,2,8.238,22,0,0,0,0,16.41,Rapido
Granja,Av 68,12,4,4,3.484,10,2,0,0,0,24.56,Rapido
Marsella,Minuto de Dios,12,2,3,4.792,5,1,0,0,0,25.76,Medio
Normandia,Calle 100,9,2,3,4.819,9,5,0,1,0,14.35,Rapido
Restrepo,De La Sabana,5,2,3,6.217,17,3,1,0,0,11.14,Rapido
La Campiña,Mandalay,20,3,4,11.199,23,4,0,0,0,34.44,Medio
Calle 63,Virrey,5,0,1,2.83,6,5,1,1,0,8.52,Rapido
Pepe Sierra,Portal Usme,28,6,5,21.564,19,3,1,0,1,113.68,Lento
Calle 19,Minuto de Dios,10,5,4,9.407,18,0,1,0,0,27.46,Medio
Portal Usme,Restrepo,14,1,2,7.944,14,0,0,0,1,58.26,Lento
CAN,21 Angeles,11,2,3,7.135,11,2,0,0,0,23.34,Rapido
General Santander,Hospitales,7,0,1,4.819,15,0,0,0,0,12.85,Rapido
Calle 72,Calle 34,6,0,1,3.58,17,4,1,0,0,12.42,Rapido
Modelia,Calle 100 Suba,11,2,3,4.788,17,6,1,1,0,24.49,Rapido
Portal El Dorado,Calle 100 Suba,13,2,3,6.129,15,4,0,0,1,25.47,Medio
Patio Bonito,Hospitales,9,1,2,7.615,8,3,1,0,0,21.98,Rapido
Virrey,Portal El Dorado,13,1,2,6.709,16,0,0,0,1,23.31,Rapido
Polo,Socorro,21,5,5,17.772,17,4,1,0,0,66.11,Lento
Marsella,El Dorado,19,4,3,2.288,15,6,0,1,0,28.13,Medio
Calle 19,Restrepo,7,1,2,3.973,21,1,0,0,0,10.1,Rapido
Calle 40 Sur,Ferias,14,2,3,14.526,8,1,1,0,0,38.35,Medio
Calle 45,Calle 100 Suba,7,1,2,5.921,10,6,0,1,0,9.97,Rapido
Santa Lucia,Simon Bolivar,11,2,3,12.859,19,5,1,1,0,36.8,Medio
Virrey,Mandalay,14,3,4,7.358,15,1,0,0,0,30.33,Medio
Yomasa,Humedal Cordoba,23,4,5,20.568,13,4,0,0,0,59.01,Lento
La Campiña,Portal Norte,18,1,2,5.59,19,0,1,0,1,47.37,Medio
Calle 100 Suba,Calle 127,5,1,2,2.342,21,3,0,0,0,8.35,Rapido
Av Chile,Portal Americas,12,1,2,8.651,23,5,0,1,1,20.49,Rapido
Prado,Calle 45,10,2,2,8.012,6,3,1,0,0,25.21,Medio
Marsella,Calle 106,12,4,5,6.519,21,5,0,1,0,19.67,Rapido
Portal 80,Restrepo,14,5,5,13.017,21,4,0,0,1,22.26,Rapido
Heroes,NQS Calle 38A Sur,11,4,4,7.504,18,6,1,1,0,20.86,Rapido
Yomasa,Marly,20,2,3,12.561,7,2,1,0,0,63.77,Lento
Heroes,General Santander,16,3,3,12.61,9,2,0,0,0,28.64,Medio
Minuto de Dios,La Campiña,13,3,3,5.967,17,1,1,0,0,42.04,Medio
La Campiña,San Victorino,16,4,3,14.833,17,5,1,1,0,42.17,Medio
Restrepo,Calle 127,14,4,5,14.326,18,4,1,0,0,40.52,Medio
Calle 85,De La Sabana,9,3,4,4.667,15,6,0,1,0,14.87,Rapido
Calle 38A Sur,Calle 45,17,4,4,12.063,7,2,1,0,0,53.48,Lento
Salitre El Greco,Restrepo,13,4,3,9.237,6,5,1,1,0,28.52,Medio
Calle 34,Suba TV 91,14,1,2,11.756,17,1,1,0,0,34.87,Medio
Virrey,Calle 63 NQS,7,2,3,2.31,19,0,1,0,0,19.06,Rapido
Ferias,Portal 80,2,0,1,1.421,14,6,0,1,1,2.11,Rapido
Ricaurte,Ferias,8,1,2,7.862,14,6,0,1,0,15.91,Rapido
Cardio Infantil,Mundo Aventura,20,4,5,12.584,23,3,0,0,0,38.15,Medio
Museo Nacional,Prado,12,4,3,10.475,21,3,0,0,0,23.52,Rapido
Tercer Milenio,Calle 38A Sur,11,1,2,7.427,13,0,0,0,0,29.94,Medio
San Facade,Calle 146,16,4,5,13.715,21,6,0,1,0,22.06,Rapido
Calle 63,Granja,8,3,3,5.73,19,4,1,0,0,20.5,Rapido
El Dorado,Portal Americas,24,4,3,4.72,16,0,0,0,1,47.28,Medio
Mundo Aventura,Ferias,12,2,3,4.927,17,0,1,0,0,33.38,Medio
Calle 142,Marly,13,2,2,10.246,9,1,0,0,0,24.47,Rapido
Portal Suba,Calle 38A Sur,28,5,5,23.66,20,3,1,0,1,92.43,Lento
Aurora,General Santander,7,1,2,3.37,11,6,0,1,0,22.48,Rapido
Tercer Milenio,Restrepo,4,0,1,2.465,18,0,1,0,0,8.52,Rapido
Calle 22,Biblioteca Tintal,13,1,2,6.37,12,3,0,0,0,24.53,Rapido
Calle 100,Calle 19,7,3,3,8.203,20,4,1,0,0,17.29,Rapido
Shaio,Ferias,7,3,3,2.687,9,2,0,0,0,16.01,Rapido
Ferias,Shaio,7,3,3,2.687,18,1,1,0,0,20.97,Rapido
Molinos,Calle 100,23,4,5,19.386,21,4,0,0,0,70.89,Lento
San Facade,Aurora,15,2,3,10.128,17,6,1,1,0,50.03,Lento
Mundo Aventura,General Santander,12,2,3,10.797,5,2,0,0,0,23.13,Rapido
Yomasa,Calle 146,27,5,6,23.48,23,5,0,1,0,56.73,Lento
Modelia,Salitre El Greco,4,0,1,2.245,15,6,0,1,0,5.73,Rapido
Portal Norte,Portal Sur,28,5,4,24.759,10,6,0,1,2,44.57,Medio
Portal El Dorado,Av Cali Calle 80,17,4,4,4.352,14,1,0,0,1,32.33,Medio
Av Chile,Las Aguas,10,3,4,7.882,14,4,0,0,0,19.62,Rapido
Portal Suba,General Santander,25,4,4,21.908,6,6,1,1,1,54.11,Lento
Biblioteca Tintal,Marly,16,1,2,6.169,13,0,0,0,0,30.18,Medio
Normandia,Portal 80,10,3,4,3.547,17,2,1,0,1,30.82,Medio
Pradera,Mundo Aventura,3,0,1,1.861,21,2,0,0,0,4.52,Rapido
Calle 106,Polo,4,2,3,2.666,10,4,0,0,0,6.98,Rapido
Mandalay,Hospitales,7,1,2,6.951,14,3,0,0,0,13.88,Rapido
Portal 80,Minuto de Dios,3,0,1,2.531,19,0,1,0,1,7.04,Rapido
Toberin,Polo,12,2,3,7.946,13,5,0,1,0,25.39,Medio
Calle 100 Suba,Normandia,10,2,3,4.178,16,4,0,0,0,20.92,Rapido
Av 68,Calle 40 Sur,17,4,3,11.689,19,0,1,0,0,38.24,Medio
Molinos,NQS Calle 38A Sur,16,2,3,9.225,23,0,0,0,0,52.26,Lento
Mundo Aventura,Portal 80,11,1,2,6.122,7,4,1,0,1,30.33,Medio
Las Aguas,Gratamira,14,4,3,12.693,12,0,0,0,0,23.56,Rapido
Quiroga,NQS Calle 38A Sur,6,1,2,3.554,22,0,0,0,0,9.41,Rapido
Portal Americas,De La Sabana,8,0,1,6.668,14,5,0,1,1,15.64,Rapido
Calle 22,Calle 38A Sur,15,2,3,9.274,7,3,1,0,0,44.43,Medio
Calle 127,Las Aguas,13,5,3,11.497,16,5,0,1,0,20.87,Rapido
Humedal Cordoba,Calle 63,7,1,2,6.3,10,6,0,1,0,9.6,Rapido
Centro Memoria,Calle 38A Sur,12,2,3,9.362,12,6,0,1,0,22.83,Rapido
Shaio,Mundo Aventura,14,3,4,7.248,19,6,1,1,0,36.04,Medio
Calle 127,Calle 100,4,0,1,2.155,14,3,0,0,0,7.4,Rapido
Restrepo,Olaya,2,0,1,0.785,18,6,1,1,0,2.14,Rapido
Las Aguas,Calle 100 Suba,11,4,3,10.101,19,3,1,0,0,28.36,Medio
San Facade,Socorro,13,2,3,9.199,10,6,0,1,0,29.46,Medio
CAN,Calle 22,5,2,2,4.985,21,1,0,0,0,7.2,Rapido
El Dorado,Minuto de Dios,14,4,4,2.905,21,2,0,0,0,27.2,Medio
San Facade,Gratamira,13,3,4,11.785,9,5,0,1,0,25.22,Medio
Prado,Calle 63 NQS,10,3,4,5.899,23,4,0,0,0,18.8,Rapido
Tercer Milenio,Marsella,6,0,1,5.808,23,0,0,0,0,9.45,Rapido
Av Chile,Shaio,7,2,3,3.126,13,5,0,1,0,12.96,Rapido
Virrey,Av 68,9,1,2,3.731,20,5,1,1,0,20.17,Rapido
Humedal Cordoba,Portal Sur,21,4,4,18.431,12,6,0,1,1,34.6,Medio
Portal El Dorado,Calle 100 Suba,13,2,3,6.129,6,1,1,0,1,35.15,Medio
Consuelo,Marsella,18,3,4,14.332,9,2,0,0,0,56.59,Lento
Minuto de Dios,Normandia,12,4,4,2.93,9,6,0,1,0,19.9,Rapido
Las Aguas,Ferias,12,6,4,9.667,19,0,1,0,0,30.0,Medio
Calle 142,Biblioteca Tintal,20,4,5,12.551,14,3,0,0,0,46.35,Medio
Calle 63,Mandalay,14,3,3,5.708,23,5,0,1,0,21.45,Rapido
Pradera,Profamilia,10,1,2,3.866,19,3,1,0,0,24.97,Rapido
Calle 127,Nariño,15,5,4,13.542,21,3,0,0,0,25.64,Medio
Modelia,Biblioteca Tintal,21,4,3,3.574,6,2,1,0,0,59.36,Lento
